Informant,to come,to come,to lie,to lie,to sit,to sit,to stand,to stand,to turn,to turn,to fall,to fall,to give,to give
Ka-Gazli 1,#CCFFCC kʲilʊ,A,#CCFFCC ʒatu,A,#CCFFCC ɔtəru,A,#CCFFCC tru,A,#CCFFCC ajnawʊ,A,#CCFFCC qʊlaw,A,#CCFFCC bʲɪru,A
Ka-Gazli 2,#CCFFCC kʲelu,A,#CCFFCC ʒatu,A,#CCFFCC wotru,A,#CCFFCC tru,A,#CCFFCC ajnalu,A,#CCFFCC qʊlaw,A,#CCFFCC bʲɪru,A
Ka-Gazli 3,#CCFFCC kʲeldø,A,#CCFFCC ʒatu,A,#CCFFCC wɔtru,A,#CCFFCC tru,A,#CCFFCC ajnaldrʊ,A,#CCFFCC qʊlaw,A,#CCFFCC bʲeru,A
Ka-Gazli 4,#CCFFCC kilu,A,#CCFFCC ʒatu,A,#CCFFCC wotru,A,#CCFFCC tru,A,#CCFFCC ajnaldru,A,#CCFFCC qʊlaw,A,#CCFFCC bʲeru,A
Ka-Gazli 5,#CCFFCC kʲelu,A,#CCFFCC ʒat,A,#CCFFCC wotər,A,#CCFFCC tər,A,#CCFFCC ajnalʊ,A,#CCFFCC qʊlaw,A,#CCFFCC bʲɪr,A
Ka-Gazli 6,#CCFFCC kʲelu,A,#CCFFCC ʒatu,A,#CCFFCC wotru,A,#CCFFCC tru,A,#CCFFCC tʲensʲelu,B,#CCFFCC qolaw,A,#CCFFCC bʲeru,A
Ka-Gazli 7,#CCFFCC kʲelu,A,#CCFFCC ʃatu,A,#CCFFCC wotru,A,#CCFFCC tər,A,#CCFFCC ajnaldrʊ,A,#CCFFCC qʊlaw,A,#CCFFCC bʲeru,A
Ka-Raushan 1,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊː,A,#CCFFCC ʒɨɣlʊː,B,#CCFFCC bʲerʊː,A
Ka-Raushan 2,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtərʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊː,A,#CCFFCC ʒɨɣɨlʊː,B,#CCFFCC bʲerʊː,A
Ka-Raushan 3,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajnaldrʊː,A,#CCFFCC qʊlaʊ,A,#CCFFCC bʲerʊː,A
Ka-Raushan 4,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajnaldrʊː,A,#CCFFCC qʊlaʊ,A,#CCFFCC bʲerʊː,A
Ki-Akmuz 1,#CCFFCC kʲelyː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlandrʊː,A,#CCFFCC ʤɨgɨluː,B,#CCFFCC bʲeryː,A
Ki-Akmuz 2,#CCFFCC kʲelyː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlanʊː,A,#CCFFCC ʤɨgɨluː,B,#CCFFCC bʲeryː,A
Ki-Akmuz 3,#CCFFCC kʲelyː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlanʊː,A,#CCFFCC ʤɨgɨluː,B,#CCFFCC bʲeryː,A
Ki-Barskoon,#CCFFCC kʲelʉː,A,#CCFFCC ʤat,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊr,A,#CCFFCC tegerɛt,C,#CCFFCC tɨsʉː,C,#CCFFCC bʲerʉː,A
