Informant,to come,to come,to lie,to lie,to sit,to sit,to stand,to stand,to turn,to turn,to fall,to fall,to give,to give
Ki-Kulanak 1,#CCFFCC kʲelyː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlanʊː,A,#CCFFCC ʤɨgɨluː,B,#CCFFCC bʲeryː,A
Ki-Kulanak 2,#CCFFCC gʲelyː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlanʊː,A,#CCFFCC ʤɨgɨluː,B,#CCFFCC bʲeryː,A
Ki-Kulanak 3,#CCFFCC gʲel,A,#CCFFCC ʤat,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊr,A,#CCFFCC ajlan,A,#CCFFCC ʤɨgɨl,B,#CCFFCC bʲer,A
Ki-Kulanak 4,#CCFFCC kʲelyː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlandrʊː,A,#CCFFCC ʤɨgɨlʊː,B,#CCFFCC bʲeryː,A
Ki-Kulanak 5,#CCFFCC kʲelyː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlanʊː,A,#CCFFCC ʤɨgɨlʊː,B,#CCFFCC bʲeryː,A
Ki-Orday 1,#CCFFCC gʲelɪʃ,A,#CCFFCC ʒatɪʃ,A,#CCFFCC ɔtʊrʊː,A,#CCFFCC turɨʃ,A,#CCFFCC ajlaniʃ,A,#CCFFCC ʤigɨlɪʃ,B,#CCFFCC bʲerɪʃ,A
Ki-Orday 2,#CCFFCC gʲelɛm,A,#CCFFCC ʤatam,A,#CCFFCC ɔtɨram,A,#CCFFCC turam,A,#CCFFCC ajlanam,A,#CCFFCC ʤigɨlam,B,#CCFFCC bʲerɛm,A
Ki-Orday 3,#CCFFCC gʲeldə,A,#CCFFCC ʤatat,A,#CCFFCC ɔtərɐt,A,#CCFFCC turat,A,#CCFFCC ajlandrat,A,#CCFFCC ʧøt,C,#CCFFCC bʲerɛt,A
Ki-Orday 4,#CCFFCC kʲelʊː,A,#CCFFCC ʤatʊː,A,#CCFFCC ɔtʊrʊː,A,#CCFFCC tʊrʊː,A,#CCFFCC ajlandɨrʊː,A,#CCFFCC kulajt,A,#CCFFCC bʲerʊː,A
Ki-Tamga,#CCFFCC kʲelyː,A,#CCFFCC ʤat,A,#CCFFCC wɔtər,A,#CCFFCC tʊr,A,#CCFFCC tegerɛn,C,#CCFFCC ʤɨgɨluː,B,#CCFFCC bʲeryː,A
KK-Halqabad 1,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊ,A,#CCFFCC ʒɨɣlʊː,B,#CCFFCC bʲerʊ,A
KK-Halqabad 2,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊ,A,#CCFFCC ʒɨɣlʊː,B,#CCFFCC bʲerʊ,A
KK-Halqabad 3,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlanʊ,A,#CCFFCC ʒɨɣlʊː,B,#CCFFCC bʲerʊ,A
KK-Kokdarya 1,#CCFFCC kʲeldə,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtərʊː,A,#CCFFCC tʊrdøʊ,A,#CCFFCC ajlanʊː,A,#CCFFCC ʒeɣøldø,B,#CCFFCC bʲerdə,A
KK-Kokdarya 2,#CCFFCC kʲelʊ,A,#CCFFCC ʒatʊ,A,#CCFFCC wɔtərʊː,A,#CCFFCC tʉrʊː,A,#CCFFCC ajlandrʊː,A,#CCFFCC ʒɨɣlʊː,B,#CCFFCC bʲerʊ,A
KK-Kokdarya 3,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtərʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlantrʊː,A,#CCFFCC qʊlaʊ,A,#CCFFCC bʲerʊː,A
KK-Kokdarya 4,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊː,A,#CCFFCC ʒɨɣlʊː,B,#CCFFCC bʲerʊː,A
KK-Shege 1,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlanʊ,A,#CCFFCC qʊlaʊ,A,#CCFFCC bʲerʊː,A
KK-Shege 2,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊ,A,#CCFFCC qʊlaʊ,A,#CCFFCC bʲerʊː,A
KK-Shege 3,#CCFFCC kʲelʊː,A,#CCFFCC ʃatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊ,A,#CCFFCC ʒɨɣlʊː,B,#CCFFCC bʲerʊ,A
KK-Shege 4,#CCFFCC kʲelʊː,A,#CCFFCC ʒatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlanʊ,A,#CCFFCC qʊlaʊ,A,#CCFFCC bʲerʊ,A
U-Hitoy 1,#CCFFCC kʲelʊː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtərʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊ,A,,,#CCFFCC bʲerʊː,A
U-Hitoy 2,#CCFFCC kʲelʊː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtrʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊ,A,#CCFFCC ʧʊː,B,#CCFFCC bʲerʊː,A
U-Hitoy 3,#CCFFCC kʲelʊː,A,#CCFFCC ʤatʊː,A,#CCFFCC wɔtərʊː,A,#CCFFCC trʊː,A,#CCFFCC ajlandrʊ,A,#CCFFCC qʊlaʊ,A,#CCFFCC bʲerʊː,A
U-Novmetan 3,#CCFFCC keliʃ,A,#CCFFCC jɔtiʃ,A,#CCFFCC ʉtəriʃ,A,#CCFFCC tur,A,#CCFFCC ajlaniʃ,A,#CCFFCC jiqɪliʃ,D,#CCFFCC ber,A
U-Soy Mahalla 1,#CCFFCC kʲeliʃ,A,#CCFFCC jɔtiʃ,A,#CCFFCC utɨriʃ,A,#CCFFCC turmɔq,A,#CCFFCC ajlaniʃ,A,#CCFFCC jɪqilmɔq,D,#CCFFCC bʲermɔq,A
U-Soy Mahalla 2,#CCFFCC kʲelmɔq,A,#CCFFCC jɔtmɔq,A,#CCFFCC wɔtɨrmɔq,A,#CCFFCC turmɔq,A,#CCFFCC ajlanmɔq,A,#CCFFCC jiqilmɔq,D,#CCFFCC bʲɪrmɔq,A
U-Soy Mahalla 3,#CCFFCC kʲeliʃ,A,#CCFFCC jɔtiʃ,A,#CCFFCC ɔtɨriʃ,A,#CCFFCC turiʃ,A,#CCFFCC ajlaniʃ,A,#CCFFCC jiqɨliʃ,D,#CCFFCC bʲeriʃ,A
U-Urtoqqishloq 1,#CCFFCC kʲelɪʃ,A,#CCFFCC jɔtɪʃ,A,#CCFFCC wʉtɪrɪʃ,A,#CCFFCC turɪʃ,A,#CCFFCC ajlaniʃ,A,#CCFFCC jɪqɪlɪʃ,D,#CCFFCC bʲerɪʃ,A
U-Urtoqqishloq 2,#CCFFCC kʲelmɔq,A,#CCFFCC jɔtmɔq,A,#CCFFCC wʉtərmɔq,A,#CCFFCC tʊrmɔq,A,#CCFFCC ajlanmɔq,A,#CCFFCC jɪqɪlmɔq,D,#CCFFCC bʲermɔq,A
U-Urtoqqishloq 3,#CCFFCC kʲɪlmɔq,A,#CCFFCC jɔtmɔq,A,#CCFFCC ʊtərmɔq,A,#CCFFCC tyrmɔq,A,#CCFFCC ajlanmɔq,A,#CCFFCC jɪqɪlmɔq,D,#CCFFCC bʲermɔq,A
U-Urtoqqishloq 4,#CCFFCC kʲɪlmɔq,A,#CCFFCC jɔtmɔq,A,#CCFFCC wʉtɪrɪʃ,A,#CCFFCC tʉrmɔq,A,#CCFFCC ajlanmɔq,A,#CCFFCC jɪqɪlmɔq,D,#CCFFCC bʲermɔq,A
U-Zarmanak 3,#CCFFCC keliʃ,A,#CCFFCC jɔtiʃ,A,#CCFFCC utəriʃ,A,#CCFFCC turmɔq,A,#CCFFCC ajlanmɔq,A,#CCFFCC jiqiliʃ,D,#CCFFCC bʲermɔq,A
U-Zarmanak 4,#CCFFCC kʲɪlmɔq,A,#CCFFCC kʲesmɔq,B,#CCFFCC utərmɔq,A,#CCFFCC turmɔq,A,#CCFFCC ajlanmɔq,A,#CCFFCC jiqəlmɔq,D,#CCFFCC bʲɪrmɔq,A
T-Agalyk,#99CCFF ɔmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF ʧarx,H,#99CCFF aftodan,H,#99CCFF dɔdan,B
T-Kamangaron 1,#99CCFF ɔmadan,B,#99CCFF xɔraftan,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF ʧarɣ,H,#99CCFF aftidan,H,#99CCFF dɔdan,B
T-Kamangaron 2,#99CCFF ɔmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#CCFFCC ajnali,A,#99CCFF ɣildan,J,#99CCFF dodan,B
T-Kamangaron 3,#99CCFF ɔmadan,B,#99CCFF xɔraftan,C,#99CCFF ʃitan,B,#99CCFF xɪstan,C,#CCFFCC ajnali,A,,,,
T-Kamangaron 4,#99CCFF ɔmadan,B,#99CCFF ʧøzili,E,#99CCFF ʃiʃtan,B,#99CCFF istodan,D,#CCFFCC ajnali,A,#99CCFF aftidan,H,#99CCFF dɔdan,B
T-Kaptarhona 1,#99CCFF ʊmadan,B,#99CCFF xaɔraftan,C,#99CCFF ʃiʃtan,B,#99CCFF ʧəq,E,#99CCFF før,J,#99CCFF ɣaltodan,J,#99CCFF dodan,B
T-Kaptarhona 2,#99CCFF ɔmadan,B,#99CCFF xobraftan,C,#99CCFF ʃiʃtan,B,#99CCFF ʧərt,E,#99CCFF fir,J,#99CCFF ɣaltodan,J,#99CCFF dodan,B
T-Kaptarhona 3,#99CCFF meɔm,B,,,#99CCFF mʲeʃinam,B,#99CCFF ʧɛrt,E,#99CCFF fər,J,,,#99CCFF dodan,B
T-Kaptarhona 4,#99CCFF madan,B,#99CCFF xawraftan,C,#99CCFF ʃiʃtan,B,#99CCFF ʧɛq,E,#99CCFF før,J,#99CCFF ɣaldɔt,J,#99CCFF dot,B
T-Kaptarhona 5,#99CCFF umadan,B,#99CCFF xawraftan,C,#99CCFF ʃiʃtan,B,#99CCFF ʧq ̩,E,#99CCFF fr̩,J,#99CCFF ɣaltɔt,J,#99CCFF dodan,B
T-Navdî 1,#99CCFF omadan,B,#99CCFF xobraftan,C,#99CCFF ʃiʃtan,B,#99CCFF istodan,D,#99CCFF fr̩,J,#99CCFF uftodan,H,#99CCFF dodan,B
T-Navdî 2,#99CCFF omadan,B,#99CCFF xobraftan,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF gird,K,#99CCFF uftodan,H,#99CCFF dodan,B
T-Navdî 3,#99CCFF biw,C,#99CCFF xɔb̥,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF tɔv,L,#99CCFF ɣaltidan,J,#99CCFF te,C
T-Nimich 1,#99CCFF omadan,B,#99CCFF xob,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF fər,J,#99CCFF aftodan,H,#99CCFF dodan,B
T-Nimich 2,#99CCFF ɔmadan,B,#99CCFF xob,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF ʧarx,H,#99CCFF aftodan,H,#99CCFF dodan,B
T-Nimich 3,#99CCFF ɔmadan,B,#99CCFF darɔz,D,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF tɔw,L,#99CCFF aftodan,H,#99CCFF dodan,B
T-Nimich 4,#99CCFF umadan,B,#99CCFF darɔz,D,#99CCFF ʃiʃtan,B,#99CCFF istodan,D,#99CCFF ʧarx,H,#99CCFF uftodan,H,#99CCFF dodan,B
T-Novmetan 1,#99CCFF ɔmdan,B,#99CCFF xɔraftan,C,#99CCFF ʃiʃtan,B,#99CCFF xestan,C,#99CCFF girt,K,#99CCFF ɣaltidan,J,#99CCFF dodan,B
T-Novmetan 2,,,#99CCFF xɔraw,C,#99CCFF ʃiʃtan,B,#99CCFF xez,C,,,#99CCFF ɣaltidan,J,#99CCFF dɔdan,B
T-Nûshor 1,#99CCFF ɔmadan,B,#99CCFF xɔb,C,#99CCFF ʃiʃtan,B,#99CCFF istodan,D,#99CCFF tɔftan,L,#99CCFF uftodan,H,#99CCFF dodan,B
T-Nûshor 2,#99CCFF biʊ,C,#99CCFF xɔb,C,#99CCFF ʃiʃtan,B,#99CCFF istodan,D,#99CCFF tɔb̥,L,#99CCFF uftodan,H,#99CCFF dodan,B
T-Nûshor 3,#99CCFF ʊmadan,B,#99CCFF xɔb,C,#99CCFF ʃiʃtan,B,#99CCFF ʧx̩t,E,#99CCFF fr̩,J,#99CCFF uftodan,H,#99CCFF dodan,B
T-Rishtan 1,#99CCFF ɔmadan,B,#99CCFF xɔb,C,#99CCFF ʃiʃtan,B,#99CCFF xestan,C,#99CCFF ʧarh,H,#99CCFF ɣaltidan,J,#99CCFF dodan,B
T-Rishtan 2,#99CCFF ɔmadan,B,#99CCFF xɔb,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF ʧarh,H,#99CCFF ɣaltidan,J,#99CCFF dɔdan,B
T-Rishtan 3,#99CCFF ɔmadan,B,#99CCFF xɔraftan,C,#99CCFF ʃʃtan,B,#99CCFF rɔst,B,#99CCFF ʧarɣ,H,#99CCFF ɣaltidan,J,#99CCFF dɔdan,B
T-Shink 1,#99CCFF ɔmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF istɔdan,D,#99CCFF tɔw,L,#99CCFF ɣaltidan,J,#99CCFF dɔdan,B
T-Shink 2,#99CCFF ʊmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF istɔdan,D,#99CCFF tɔb̥,L,#99CCFF ɣaltidan,J,#99CCFF dɔdan,B
T-Shink 3,#99CCFF ɔmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF gird,K,#99CCFF aftidan,H,#99CCFF dɔdan,B
T-Urmetan 1,#99CCFF ɔmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF istex,D,#99CCFF tɔb,L,#99CCFF ɣaltidan,J,#99CCFF dodan,B
T-Urmetan 2,#99CCFF ɔmadan,B,#99CCFF xɔbidan,C,#99CCFF ʃiʃtan,B,#99CCFF istodan,D,#99CCFF ʧarx,H,#99CCFF ɣaltidan,J,#99CCFF dɔdan,B
T-Urmetan 3,#99CCFF ɔmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF rɔst,B,#99CCFF ʧarx,H,#99CCFF aftidan,H,#99CCFF dɔdan,B
T-Urmetan 4,#99CCFF ɔmadan,B,#99CCFF xɔbraftan,C,#99CCFF ʃiʃtan,B,#99CCFF xɛstan,C,,,#99CCFF ɣaltidan,J,#99CCFF dɔdan,B
T-Zarmanak 1,#99CCFF ɔmdan,B,#99CCFF xɔraftan,C,#99CCFF ʃiʃtan,B,#99CCFF rɔstodan,B,#99CCFF ɣir,K,#99CCFF aftidan,H,#99CCFF dodan,B
T-Zarmanak 2,#99CCFF ɔmdan,B,#99CCFF xɔraftan,C,#99CCFF ʃɪʃtan,B,#99CCFF rɔst,B,#99CCFF gir,K,#99CCFF ɣaltidan,J,#99CCFF dodan,B
Y-Dugova 1,#99CCFF avɔrim,D,#99CCFF anɪpidim,F,#99CCFF anidim,C,#99CCFF awʊʃtim,D,#99CCFF tɔb̥,L,#99CCFF atiraʃim,K,#99CCFF atfarim,D
Y-Dugova 2,#99CCFF avɔw,D,#99CCFF nipidak,F,#99CCFF anid,C,#99CCFF uʃtak,D,#99CCFF daβri,M,#99CCFF divɪak,L,#99CCFF tfarak,D
Y-Safedorak 1,#99CCFF βɔβak,D,#99CCFF nipidak,F,#99CCFF nidak,C,#99CCFF jaxak,F,#99CCFF tɔpɪ,L,#99CCFF tiraʃak,M,#99CCFF tfarak,D
Y-Safedorak 2,#99CCFF βɔβak,D,#99CCFF nipidak,F,#99CCFF nidak,C,#99CCFF ʊʃtak,D,#99CCFF tɔbak,L,#99CCFF tiraʃak,M,#99CCFF tfarak,D
Y-Safedorak 3,,,,,,,,,,,,,,
