Informant,far,far,right,right,left,left,name,name,I,I,you,you,he,he,we,we,you,you,they,they
U-Urtoqqishloq 2,#CCFFCC uzɒq,A,#CCFFCC wʊŋ,A,#99CCFF ʧap,B,#CCFFCC wɔt,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC u,A,#CCFFCC bɪs,A,#CCFFCC sɪzlar,A,#CCFFCC ʊlar,A
U-Urtoqqishloq 3,#CCFFCC uzɔq,A,#CCFFCC wʊŋ,A,#99CCFF ʧap,B,#FFFF99 ism̩,A,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ʊ,A,#CCFFCC bɪzlar,B,#CCFFCC sɪzlar,A,#CCFFCC ʊlar,A
U-Urtoqqishloq 4,#CCFFCC uzɒq,A,#CCFFCC ʊŋ,A,#99CCFF ʧap,B,#CCFFCC wɔt,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ʊ,A,#CCFFCC bez,A,#CCFFCC sɪz̥,B,#CCFFCC ʊlar,A
U-Zarmanak 3,#CCFFCC uzɔq,A,#CCFFCC uŋ,A,#99CCFF ʧap,B,#FFFF99 ism,A,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC u,A,#CCFFCC bizlar,B,#CCFFCC sizlar,A,#CCFFCC ular,A
U-Zarmanak 4,#CCFFCC uzɔq,A,#CCFFCC ʉŋ,A,#99CCFF ʧap,B,#FFFF99 isəm,A,#CCFFCC mʲɛn,A,,,#CCFFCC u,A,#CCFFCC bɨz̥,A,,,#CCFFCC ular,A
T-Agalyk,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF ɔn,B,#99CCFF mɔ,D,,,#99CCFF ɔnhɔ,B
T-Kamangaron 1,#99CCFF dyr,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF vaj,C,#99CCFF mɔhɔn,E,#99CCFF ʃumɔjɔn,D,#99CCFF vajhɔ,C
T-Kamangaron 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF unɔ,D
T-Kamangaron 3,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,,,#99CCFF mɔhɔn,E,,,#99CCFF vajhɔ,C
T-Kamangaron 4,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF vaj,C,#99CCFF mɔhɔ̃n,E,#99CCFF ʃumɔhɔn,D,#99CCFF vajhɔ,C
T-Kaptarhona 1,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nom,C,#99CCFF man,B,#99CCFF tɨ,B,#99CCFF vaj,C,,,#99CCFF ʃumɔ,C,#99CCFF βajɔ,C
T-Kaptarhona 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF vajɔ,C
T-Kaptarhona 3,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nʊm,C,#99CCFF man,B,,,#99CCFF vajɔ,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF vajɔ,C
T-Kaptarhona 4,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF vajɔ,C
T-Kaptarhona 5,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF num,C,#99CCFF mɛn,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF vajɔ,C
T-Navdî 1,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Navdî 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF mn̩,B,#99CCFF tʊ,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Navdî 3,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,,,#99CCFF vaj,C,#99CCFF mɔjɔn,E,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Nimich 1,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,,,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Nimich 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tʊ,B,#99CCFF vaj,C,#99CCFF mɔˑ,D,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Nimich 3,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nʊm,C,#99CCFF man,B,#99CCFF tʊ,B,#99CCFF ʊ,A,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Nimich 4,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF num,C,#99CCFF mn̩,B,#99CCFF tə,B,#99CCFF ʊ,A,#99CCFF mɔ,D,#99CCFF ʃmɔ,C,#99CCFF ʊwɔ,E
T-Novmetan 1,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔ̃m,C,#99CCFF mʲɛn,B,#99CCFF tu,B,#99CCFF in,D,#99CCFF mɔhɔ,E,#99CCFF ʃumɔː,C,#99CCFF unɔ,D
T-Novmetan 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF vaj,C,#99CCFF mɔhɔ,E,#99CCFF ʃumɔhɔ,D,,
T-Nûshor 1,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF ɔn,B,#99CCFF mɔ,D,#99CCFF ʃmɔ,C,#99CCFF ʊwɔ,E
T-Nûshor 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧab̥,B,#99CCFF nɔm,C,#99CCFF man,B,,,,,,,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Nûshor 3,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF num,C,#99CCFF mən,B,#99CCFF tə,B,#99CCFF ʊ,A,#99CCFF mɔ,D,#99CCFF ʃʊmɔ,C,#99CCFF uvɔ,E
T-Rishtan 1,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tʊ,B,#99CCFF vaj,C,#99CCFF mo,D,,,#99CCFF vajhɔ,C
T-Rishtan 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tʊ,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃumɔ,C,#99CCFF vajhɔ,C
T-Rishtan 3,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF ty,B,#99CCFF vaj,C,#99CCFF mɔhɔ,E,#99CCFF ʃumɔ,C,#99CCFF vajhɔ,C
T-Shink 1,#99CCFF dr̩,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔjɔn,E,#99CCFF ʃumɔ,C,#99CCFF ɔnhɔ,B
T-Shink 2,#99CCFF dʊr,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔ,D,#99CCFF ʃymɔ,C,#99CCFF ɔnhɔ,B
T-Shink 3,#99CCFF dr̩,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔjɔn,E,#99CCFF ʃymɔjɔn,D,#99CCFF ɔnhɔ,B
T-Urmetan 1,#99CCFF dʊr,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔː,D,#99CCFF ʃumɔː,C,#99CCFF ɔnhɔ,B
T-Urmetan 2,#99CCFF dʊr,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔhɔ,E,#99CCFF ʃumɔː,C,#99CCFF ɔnhɔ,B
T-Urmetan 3,#99CCFF dr̩,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF vaj,C,#99CCFF mɔˑ,D,#99CCFF ʃʊmɔjɔn,D,#99CCFF ɔnhɔ,B
T-Urmetan 4,#99CCFF dr̩,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF ɔn,B,#99CCFF mɔ,D,#99CCFF ʃymɔ,C,#99CCFF ɔnhɔ,B
T-Zarmanak 1,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,,,#99CCFF vaj,C,#99CCFF mɔhɔ,E,#99CCFF ʃumɔ,C,#99CCFF uno,D
T-Zarmanak 2,#99CCFF dur,E,#99CCFF rɔst,B,#99CCFF ʧap,B,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF vaj,C,#99CCFF mɔː,D,#99CCFF ʃumɔ,C,#99CCFF unɔ,D
Y-Dugova 1,#99CCFF dʉr,E,#99CCFF raska,C,#99CCFF ʧappa,D,#99CCFF num,C,#99CCFF man,B,#99CCFF tʊ,B,#99CCFF vaj,C,#99CCFF mɔː,D,#99CCFF ʃʊmɔː,C,#99CCFF onhɔ,B
Y-Dugova 2,#99CCFF dur,E,#99CCFF raska,C,#99CCFF ʧappa,D,#99CCFF nɔm,C,#99CCFF man,B,#99CCFF tø,B,#99CCFF ax,E,#99CCFF mɔx,F,,,#99CCFF axtit,F
Y-Safedorak 1,#99CCFF dʊr,E,#99CCFF raska,C,#99CCFF ʧaˑpa,D,#99CCFF num,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF ax,E,#99CCFF mox,F,#99CCFF ʃumɔx,E,#99CCFF axtit,F
Y-Safedorak 2,#99CCFF dur,E,#99CCFF raska,C,#99CCFF ʧappa,D,#99CCFF num,C,#99CCFF man,B,#99CCFF tu,B,#99CCFF ax,E,#99CCFF mɔx,F,#99CCFF ʃʊmɔx,E,#99CCFF axtit,F
Y-Safedorak 3,,,,,,,,,#99CCFF man,B,#99CCFF tʊ,B,#99CCFF ax,E,#99CCFF mɔx,F,#99CCFF ʃʊmɔx,E,#99CCFF axtit,F
