Informant,far,far,right,right,left,left,name,name,I,I,you,you,he,he,we,we,you,you,they,they
Ka-Gazli 1,#CCFFCC ʊzɒq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔł,A,#FFFF99 jisəm,A,#CCFFCC mʲen,A,#CCFFCC sʲɛn,A,#CCFFCC wɔł,A,#CCFFCC bizdʲɛr,B,#CCFFCC sizdʲɛr,A,#CCFFCC olar,A
Ka-Gazli 2,#CCFFCC ʉzaq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔł,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC u,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC ʊlar,A
Ka-Gazli 3,#CCFFCC uzaq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC atɜ,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wo,A,#CCFFCC bɨzdʲer,B,#CCFFCC sɨzdʲer,A,#CCFFCC ʊlar,A
Ka-Gazli 4,#CCFFCC uzaq,A,#CCFFCC wɔ̃ŋ,A,#CCFFCC sʊł,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC wɔl,A,#CCFFCC bizdʲer,B,#CCFFCC sizdʲer,A,#CCFFCC wolar,A
Ka-Gazli 5,#CCFFCC uzaq,A,#CCFFCC wɔ̃ŋ,A,#CCFFCC sɔł,A,#CCFFCC atɜ,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɨz̥,A,#CCFFCC sɨz̥,B,#CCFFCC wɔlar,A
Ka-Gazli 6,#CCFFCC ʊzaq,A,#CCFFCC wɔ̃ŋ,A,#CCFFCC sɔł,A,#CCFFCC atə,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔł,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC wɔlar,A
Ka-Gazli 7,#CCFFCC ʊzaq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔł,A,#CCFFCC atə,B,#CCFFCC mʲen,A,,,#CCFFCC wɔł,A,#CCFFCC bɨrdʲe,B,,,#CCFFCC wɔlar,A
Ka-Raushan 1,#CCFFCC ɒlɨs,B,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɪn,A,#CCFFCC sʲɪn,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲer,B,#CCFFCC sɪzdʲer,A,#CCFFCC wɔlar,A
Ka-Raushan 2,#CCFFCC ɒlɨs,B,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC wɔlar,A
Ka-Raushan 3,#CCFFCC ɒlɨs,B,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC wɔlar,A
Ka-Raushan 4,#CCFFCC ɒlɨs,B,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC wɔlar,A
Ki-Akmuz 1,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
Ki-Akmuz 2,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
Ki-Akmuz 3,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
Ki-Barskoon,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
Ki-Kulanak 1,#CCFFCC ɒlɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC ɒt,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC ɒlar,A
Ki-Kulanak 2,#CCFFCC ɒlɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC ɒlar,A
Ki-Kulanak 3,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
Ki-Kulanak 4,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
Ki-Kulanak 5,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
Ki-Orday 1,#CCFFCC uzɒq,A,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC ɒt,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ʊ,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC ʊlar,A
Ki-Orday 2,#CCFFCC ɒlɨs,B,#CCFFCC ɔŋ,A,#99CCFF ʧap,B,#CCFFCC ɒt,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ʊ,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC ʊlar,A
Ki-Orday 3,#CCFFCC ɒlɨs,B,#CCFFCC ɔŋ,A,#99CCFF ʧap,B,#CCFFCC ɒt,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ʊ,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC ʊlar,A
Ki-Orday 4,#CCFFCC ɒlɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC atɨ,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ɒl,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC ɒlaʃ,A
Ki-Tamga,#CCFFCC alɨs,B,#CCFFCC ɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC al,A,#CCFFCC biz̥,A,#CCFFCC siz̥,B,#CCFFCC alar,A
KK-Halqabad 1,#CCFFCC ɒlɜs,B,#CCFFCC wɔŋ,A,#99CCFF ʃɪp,B,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲɛr,B,#CCFFCC sɪz̥,B,#CCFFCC wɔlar,A
KK-Halqabad 2,#CCFFCC ʉzaq,A,#CCFFCC wɔŋ,A,#CCFFCC ʃɪp,B,#FFFF99 ism,A,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲɛr,B,#CCFFCC sɪzlʲɛr,A,#CCFFCC wɔlar,A
KK-Halqabad 3,#CCFFCC ʉzaq,A,#CCFFCC wɔŋ,A,#CCFFCC ʃɪp,B,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC wɔlar,A
KK-Kokdarya 1,#CCFFCC uzaq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC wɔl,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC wolar,A
KK-Kokdarya 2,#CCFFCC uzaq,A,#CCFFCC wɔŋ,A,#CCFFCC ʃɪp,B,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲɛr,B,#CCFFCC sɪzlʲɛr,A,#CCFFCC wolar,A
KK-Kokdarya 3,#CCFFCC ɒlɨs,B,#CCFFCC wɔŋ,A,#99CCFF ʃɪp,B,#CCFFCC atɨ,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲɛr,B,#CCFFCC sɪzlʲɛr,A,#CCFFCC wolar,A
KK-Kokdarya 4,#CCFFCC uzaq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲer,B,#CCFFCC sɪzlʲer,A,#CCFFCC wolar,A
KK-Shege 1,#CCFFCC ɒlɜs,B,#CCFFCC wɔŋ,A,#99CCFF ʃɪp,B,#FFFF99 ism,A,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲer,B,#CCFFCC sɪzlʲer,A,#CCFFCC wɔlar,A
KK-Shege 2,#CCFFCC uzaq,A,#CCFFCC wɔŋ,A,#CCFFCC ʃɪp,B,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲer,B,#CCFFCC sɪzlʲer,A,#CCFFCC wɔlar,A
KK-Shege 3,#CCFFCC ɒlɨs,B,#CCFFCC wɔŋ,A,ʃɪp,B,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲɛr,B,#CCFFCC sɪzlʲɛr,A,#CCFFCC wɔlar,A
KK-Shege 4,#CCFFCC ʉzaq,A,#CCFFCC wɔŋ,A,#99CCFF sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲɛr,B,#CCFFCC sɪzlʲɛr,A,#CCFFCC wɔlar,A
U-Hitoy 1,#CCFFCC uzaq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC wolar,A
U-Hitoy 2,#CCFFCC ʊzaq,A,#CCFFCC wɔŋ,A,#CCFFCC sɔl,A,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲer,B,#CCFFCC sɪzlʲer,A,#CCFFCC wɔlar,A
U-Hitoy 3,#CCFFCC alɜs,B,#CCFFCC wɔŋ,A,#99CCFF ʧɪp,B,#CCFFCC at,B,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC wɔl,A,#CCFFCC bɪzlʲer,B,#CCFFCC sɪzlʲer̯,A,#CCFFCC wɔlar,A
U-Novmetan 3,#CCFFCC uzɔq,A,#CCFFCC ʉŋa,A,#99CCFF ʧap,B,#FFFF99 ism,A,#CCFFCC mʲɛn,A,#CCFFCC sen,A,#CCFFCC u,A,#CCFFCC bizlar,B,#CCFFCC sɨz,B,#CCFFCC ular,A
U-Soy Mahalla 1,#CCFFCC uzɒq,A,#CCFFCC ɔŋ,A,#99CCFF ʧap,B,#FFFF99 ism,A,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC ʊ,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC ʊlar,A
U-Soy Mahalla 2,#CCFFCC uzɒq,A,#CCFFCC wɔŋ,A,#99CCFF ʧap,B,#99CCFF nɔm,C,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ʊ,A,#CCFFCC bɨz̥,A,#CCFFCC sɨz̥,B,#CCFFCC ular,A
U-Soy Mahalla 3,#CCFFCC uzaq,A,#CCFFCC wɔŋ,A,#99CCFF ʧap,B,#FFFF99 isəm,A,#CCFFCC mʲen,A,#CCFFCC sʲen,A,#CCFFCC ʊ,A,#CCFFCC bɨz̥,A,#CCFFCC sɨz̥,B,#CCFFCC ular,A
U-Urtoqqishloq 1,#CCFFCC uzɔq,A,#CCFFCC wʊŋ,A,#99CCFF ʧap,B,#FFFF99 ism̩,A,#CCFFCC mʲɛn,A,#CCFFCC sʲɛn,A,#CCFFCC u,A,#CCFFCC bɪz̥,A,#CCFFCC sɪz̥,B,#CCFFCC ular,A
