Informant,smoke,smoke,fire,fire,ashes,ashes,to burn,to burn,road,road,mountain,mountain,red,red,green,green
Ka-Gazli 1,#CCFFCC tʉtʉn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣu,A,#CCFFCC ʒɔl,A,#CCFFCC taw,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒasɨł,A
Ka-Gazli 2,#CCFFCC tytyn,A,#CCFFCC ʒalɨn,B,#CCFFCC kʉl,A,#CCFFCC ʒaɣu,A,#CCFFCC ʒɔl,A,#CCFFCC taw,A,#CCFFCC qɨzɨł,A,#CCFFCC ʒasɨł,A
Ka-Gazli 3,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣu,A,#CCFFCC ʒɔł,A,#CCFFCC taw,A,#CCFFCC qɨzɨł,A,#CCFFCC ʒasəł,A
Ka-Gazli 4,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉł,A,#CCFFCC ʒaɣu,A,#CCFFCC ʒoł,A,#CCFFCC taw,A,#CCFFCC qɨzɨł,A,#CCFFCC ʒasəł,A
Ka-Gazli 5,#CCFFCC tʉtʉn,A,#CCFFCC wɔt,A,#CCFFCC kʉł,A,#CCFFCC ʒaɣu,A,#CCFFCC ʒoł,A,#CCFFCC taw,A,#CCFFCC qɨzɨł,A,#CCFFCC ʒasɜł,A
Ka-Gazli 6,#CCFFCC bu,B,#CCFFCC wɔt,A,#CCFFCC kʉł,A,#CCFFCC ʒaɣu,A,#CCFFCC ʒoł,A,#CCFFCC taw,A,#CCFFCC qɜzɨł,A,#CCFFCC ʒasɜł,A
Ka-Gazli 7,#CCFFCC tʉtʉn,A,#CCFFCC wɔt,A,,,#CCFFCC ʒaɣu,A,#CCFFCC ʃoł,A,#CCFFCC taw,A,#CCFFCC qɜzɜł,A,#CCFFCC ʒasɜł,A
Ka-Raushan 1,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊː,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC kwøk,B
Ka-Raushan 2,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊː,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒaʃəl,A
Ka-Raushan 3,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊː,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒaʃɨl,A
Ka-Raushan 4,#CCFFCC tylqə,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊː,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒaʃɨl,A
Ki-Akmuz 1,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC kyl,A,#CCFFCC ʤaɣuː,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɪl,A
Ki-Akmuz 2,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC kyl,A,#CCFFCC ʤaɣuː,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɨl,A
Ki-Akmuz 3,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC gyl,A,#CCFFCC ʤaɣuː,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɨl,A
Ki-Barskoon,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC gʉl,A,#CCFFCC ʤaq,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɨl,A
Ki-Kulanak 1,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC kyl,A,#CCFFCC ʤagʊː,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɨl,A
Ki-Kulanak 2,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC gyl,A,#CCFFCC yrtø,B,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɪl,A
Ki-Kulanak 3,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC gyl,A,#CCFFCC ʤaq,A,#CCFFCC ʤol,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɪl,A
Ki-Kulanak 4,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC kyl,A,#CCFFCC ʤaɣuː,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɨl,A
Ki-Kulanak 5,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC gyl,A,#CCFFCC ørttø,B,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɪl,A
Ki-Orday 1,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC kyl,A,#CCFFCC ʤag˳,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɪl,A
Ki-Orday 2,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kyl,A,#CCFFCC ʤɒq,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC køk,B
Ki-Orday 3,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kyl,A,,,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɪl,A
Ki-Orday 4,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC kyl,A,,,,,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɪl,A
Ki-Tamga,#CCFFCC tytyn,A,#CCFFCC ɔt,A,#CCFFCC gʉl,A,#CCFFCC ʤaɣuː,A,#CCFFCC ʤɔl,A,#CCFFCC tɔː,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɨl,A
KK-Halqabad 1,#CCFFCC tytyn,A,#CCFFCC ʒaːlən,B,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC kwøk,B
KK-Halqabad 2,#CCFFCC tytyn,A,#CCFFCC ʒaːlən,B,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒasɨl,A
KK-Halqabad 3,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC kʉk,B
KK-Kokdarya 1,#CCFFCC tʊtʊn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC wørtøʊ,B,#CCFFCC ʤɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤaʃɨl,A
KK-Kokdarya 2,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒasɨl,A
KK-Kokdarya 3,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤasɨl,A
KK-Kokdarya 4,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊː,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒasɨl,A
KK-Shege 1,#CCFFCC tytyn,A,#CCFFCC ʒaːlən,B,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC kʉk,B
KK-Shege 2,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊː,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC kʊk,B
KK-Shege 3,#CCFFCC tytyn,A,#CCFFCC ʒ˳aːlən,B,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒasɨl,A
KK-Shege 4,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʒaɣʊ,A,#CCFFCC ʒɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʒasɨl,A
U-Hitoy 1,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʤaɣʊː,A,#CCFFCC ʤɔl,A,#CCFFCC taʊ,A,#CCFFCC qɨzɨl,A,#CCFFCC jaʃɨl,A
U-Hitoy 2,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʤaɣʊː,A,#CCFFCC ʤɔl,A,#CCFFCC taɔ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤasɨl,A
U-Hitoy 3,#CCFFCC tytyn,A,#CCFFCC wɔt,A,#CCFFCC kʉl,A,#CCFFCC ʤaɣʊː,A,#CCFFCC ʤɔl,A,#CCFFCC taɔ,A,#CCFFCC qɨzɨl,A,#CCFFCC ʤasɨl,A
U-Novmetan 3,#99CCFF dud,C,#99CCFF ɔlɔv,C,#CCFFCC kul,A,#CCFFCC jɔndəriʃ,C,#CCFFCC jʉl,A,#CCFFCC tɔɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC kʉk,B
U-Soy Mahalla 1,#CCFFCC tutun,A,#CCFFCC ɔt,A,#FF99CC pʲepʲɛl,B,#CCFFCC jɔqmɔq,D,#CCFFCC jɔl,A,#CCFFCC tɔɣ,A,#CCFFCC qɨzɨl,A,#99CCFF zangʲɔrɪ,C
U-Soy Mahalla 2,#CCFFCC tytyn,A,#99CCFF alɔv,C,#CCFFCC kʉl,A,#CCFFCC jɔndɪrmɔq,C,#CCFFCC jɔl,A,#CCFFCC tɔɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC køk,B
U-Soy Mahalla 3,#CCFFCC tʉtʉn,A,#CCFFCC ɔt,A,#CCFFCC kʉl,A,#CCFFCC jaqɪʃ,D,#CCFFCC jɔl,A,#CCFFCC tɔɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC køk,B
U-Urtoqqishloq 1,#CCFFCC tytyn,A,#99CCFF alɔw,C,#CCFFCC kʉł,A,#CCFFCC jɔqɪʃ,D,#CCFFCC jʉl,A,#CCFFCC tɔx,A,#CCFFCC qɨzɨl,A,#CCFFCC jaʃɪl,A
U-Urtoqqishloq 2,#CCFFCC tytyn,A,#99CCFF alɔw,C,#CCFFCC kʉł,A,#CCFFCC jɔqmɔq,D,#CCFFCC jʉl,A,#CCFFCC tɒɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC jaʃɪl,A
