Informant,smoke,smoke,fire,fire,ashes,ashes,to burn,to burn,road,road,mountain,mountain,red,red,green,green
U-Urtoqqishloq 3,#CCFFCC tytyn,A,#99CCFF alɔw,C,#CCFFCC kʉł,A,#CCFFCC jɔqmɔq,D,#CCFFCC jʉl,A,#CCFFCC tɔɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC jaʃɪl,A
U-Urtoqqishloq 4,#CCFFCC tytyn,A,#99CCFF alɔw,C,#CCFFCC kʉł,A,#CCFFCC jɔqmɔq,D,#CCFFCC jʊl,A,#CCFFCC tɔɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC jaʃɪl,A
U-Zarmanak 3,#CCFFCC tutun,A,#99CCFF ɔlɔv,C,#CCFFCC kul,A,#CCFFCC jɔndɪrmɔq,C,#CCFFCC jʉl,A,#CCFFCC tɔɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC kʉk,B
U-Zarmanak 4,#CCFFCC tutun,A,#99CCFF ɔlɔv,C,#CCFFCC kul,A,#CCFFCC jɔqmɔq,D,#CCFFCC jʉl,A,#CCFFCC tɔɣ˳,A,#CCFFCC qɨzɨl,A,#CCFFCC jaʃɪl,A
T-Agalyk,#99CCFF dʉd̥,C,#99CCFF alɔw,C,#99CCFF xɔkiʃtar,D,#99CCFF dargerondan,H,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF kabud̥,F
T-Kamangaron 1,#99CCFF dud̥,C,#99CCFF alɔw,C,#99CCFF xɔkistar,D,#99CCFF dargɪrundan,H,#99CCFF roh,C,#99CCFF kyh,C,#99CCFF surx,B,#99CCFF zangor,C
T-Kamangaron 2,#99CCFF dud̥,C,#99CCFF alɔb,C,#99CCFF xɔkistar,D,#99CCFF syxtan,I,#99CCFF roh,C,#99CCFF køh,C,#99CCFF surx,B,#99CCFF zangor,C
T-Kamangaron 3,#CCFFCC tutun,A,#99CCFF alaɔ,C,,,#99CCFF gerɔndan,H,#99CCFF rah,C,#99CCFF køh,C,#99CCFF surx,B,,
T-Kamangaron 4,,,#99CCFF alɔw,C,#99CCFF xɔkistar,D,#99CCFF dargerondan,H,#99CCFF rah,C,#99CCFF køh,C,#99CCFF surx,B,#99CCFF zangɔr,C
T-Kaptarhona 1,#CCFFCC tutun,A,#99CCFF alaw,C,#99CCFF xɔkstar,D,#99CCFF dargerundan,H,#99CCFF rah,C,#99CCFF køh,C,#99CCFF sørx,B,#99CCFF saβuz̥,G
T-Kaptarhona 2,#99CCFF dud,C,#99CCFF aɣaw,C,#99CCFF xokistar,D,#99CCFF dargerundan,H,#99CCFF rɔh,C,#99CCFF kuh,C,#99CCFF surx,B,#99CCFF kabut,F
T-Kaptarhona 3,#99CCFF dud̥,C,#99CCFF alav,C,#99CCFF xokistar,D,#99CCFF alav,J,#99CCFF rah,C,#99CCFF kʊh,C,#99CCFF sørx,B,#99CCFF kabut,F
T-Kaptarhona 4,#99CCFF dud̥,C,#99CCFF alaw,C,#99CCFF xokstar,D,#99CCFF dargurundan,H,#99CCFF rah,C,#99CCFF kʊh,C,#99CCFF surx,B,#99CCFF kabut,F
T-Kaptarhona 5,#99CCFF dd̩,C,#99CCFF alaɔ,C,#99CCFF xɔkstar,D,#99CCFF dargʲerundan,H,#99CCFF rah,C,#99CCFF kh̩,C,#99CCFF sr̩x,B,#99CCFF kabt̩,F
T-Navdî 1,#99CCFF dud̥,C,#99CCFF alɔv,C,#99CCFF xɔkɪstar,D,#99CCFF alɔv,J,#99CCFF rah,C,#99CCFF kʊh,C,#99CCFF surx,B,#99CCFF kabud̥,F
T-Navdî 2,#99CCFF dud̥,C,#99CCFF alɔv,C,#99CCFF xɔkɪstar,D,#99CCFF dargirundan,H,#99CCFF rɔh,C,#99CCFF kʊh,C,#99CCFF sʉrx,B,#99CCFF savz,G
T-Navdî 3,#99CCFF dud̥,C,#99CCFF alɔv,C,#99CCFF xɔkɪstar,D,#99CCFF alɔv,J,#99CCFF rɔh,C,#99CCFF kuh,C,#99CCFF surx,B,#99CCFF savz,G
T-Nimich 1,#99CCFF dud̥,C,#99CCFF alɔw,C,#99CCFF xɔkɪstar,D,#99CCFF suxtagi,I,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF savz,G
T-Nimich 2,#99CCFF dʊd,C,#CCFFCC ɔtaʃ,A,#99CCFF xɔkɪstar,D,#99CCFF suzɔndan,K,#99CCFF rɔh,C,#99CCFF kuh,C,#99CCFF surx,B,#99CCFF sawz,G
T-Nimich 3,#99CCFF dud̥,C,#99CCFF alɔw,C,#99CCFF xɔkɪstar,D,#99CCFF suxtan,I,#99CCFF rah,C,#99CCFF kh̩,C,#99CCFF sərx,B,#99CCFF sawz,G
T-Nimich 4,#99CCFF dʊd̥,C,#99CCFF alɔw,C,#99CCFF xɔkɪstar,D,#99CCFF dargirondan,H,#99CCFF rah,C,#99CCFF kh̩,C,#99CCFF sərx,B,#99CCFF sawz,G
T-Novmetan 1,#CCFFCC tutun,A,#99CCFF ɔlaw,C,#CCFFCC kul,A,#99CCFF girɔn,H,#99CCFF rah,C,#CCFFCC tɔɣ˳,A,#99CCFF surx,B,#99CCFF kabɨt,F
T-Novmetan 2,,,#99CCFF ɔlɣa,C,,,,,#99CCFF ra,C,#99CCFF balandi,D,#99CCFF surx,B,#99CCFF kabɨt,F
T-Nûshor 1,#99CCFF dʊd̥,C,#99CCFF alɔw,C,#99CCFF xɔkɪstar,D,#99CCFF suxtan,I,#99CCFF rɔh,C,#99CCFF kh̩,C,#99CCFF sərx,B,#99CCFF sawz,G
T-Nûshor 2,#99CCFF dʊd̥,C,#99CCFF alɔw,C,,,#99CCFF dargirʊndan,H,#99CCFF rɔh,C,#99CCFF kʊh,C,#99CCFF sʊrx,B,#99CCFF kabud,F
T-Nûshor 3,#99CCFF dʊd̥,C,#99CCFF alɔw,C,#99CCFF xɔkɪstar,D,#99CCFF suxtan,I,#99CCFF rah,C,#99CCFF pS̩ta,E,#99CCFF sərx,B,#99CCFF sawz,G
T-Rishtan 1,#99CCFF dyd̥,C,#99CCFF ɒlɔb̥,C,#99CCFF xɔkistar,D,#99CCFF dargʲerundan,H,#99CCFF rah,C,#99CCFF kʊh,C,#99CCFF syrx,B,#99CCFF zangɔr,C
T-Rishtan 2,#99CCFF dyd̥,C,#99CCFF alɔb̥,C,#99CCFF xɔkistar,D,#99CCFF dargʲirundan,H,#99CCFF rɒh,C,#99CCFF kuh,C,#99CCFF surx,B,#99CCFF kabut,F
T-Rishtan 3,#99CCFF dyd̥,C,#99CCFF alɔb̥,C,#99CCFF xɔkistar,D,#99CCFF dargʲɪrundan,H,#99CCFF rah,C,#99CCFF kyh,C,#99CCFF syrx,B,#99CCFF kabut,F
T-Shink 1,#99CCFF dd̩,C,#99CCFF alɔv,C,#99CCFF xɔkistar,D,#99CCFF sʊxtan,I,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF kabɨd,F
T-Shink 2,#99CCFF dud,C,#99CCFF alɔv,C,#99CCFF xɔkistar,D,#99CCFF dargirundan,H,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF sabz,G
T-Shink 3,#99CCFF dyd,C,#CCFFCC ɔtaʃ,A,#99CCFF xɔkistar,D,#99CCFF dargirundan,H,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF savz,G
T-Urmetan 1,#99CCFF dyt,C,#99CCFF alɔb,C,#99CCFF xɔkɪstar,D,#99CCFF dargirundan,H,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF sabz,G
T-Urmetan 2,#99CCFF dud̥,C,#99CCFF alɔw,C,#99CCFF xɔkɪstar,D,#99CCFF suzɔndan,K,#99CCFF rɔh,C,#99CCFF kuh,C,#99CCFF sʉrx,B,#99CCFF kabud,F
T-Urmetan 3,#99CCFF dyt,C,#CCFFCC ɔtaʃ,A,#99CCFF xɔkɪstar,D,#99CCFF dargirundan,H,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF savz,G
T-Urmetan 4,#99CCFF dd̩,C,#99CCFF alɔv,C,#99CCFF xɔkɪstar,D,#99CCFF dargirundan,H,#99CCFF rɔh,C,#99CCFF kʉh,C,#99CCFF sʉrx,B,#99CCFF kabɨd,F
T-Zarmanak 1,#99CCFF dud̥,C,#99CCFF ɔlaw,C,#99CCFF xɔkistar,D,#99CCFF sʉxtan,I,#99CCFF rah,C,#CCFFCC tɔɣ,A,#99CCFF surx,B,#99CCFF kabɨt,F
T-Zarmanak 2,#99CCFF dud̥,C,#99CCFF ɔlaw,C,#99CCFF xɔkistar,D,#99CCFF grɔndan,H,#99CCFF raː,C,#CCFFCC tɔɣ˳,A,#99CCFF surx,B, , 
Y-Dugova 1,#99CCFF dud,C,#99CCFF ɔlɔw,C,#99CCFF xɔkɪstar,D,#99CCFF ɔlɔw,J,#99CCFF rɔˑt,C,#99CCFF ɣar,F,#99CCFF sʉrx,B,#99CCFF kabud̥,F
Y-Dugova 2,#99CCFF dud,C,#99CCFF ɔlɔw,C,#99CCFF xɔkɪstar,D,#99CCFF ɔlɔwi,J,#99CCFF rɔs,C,#99CCFF ɣar,F,#99CCFF surx,B,#99CCFF sabz,G
Y-Safedorak 1,#99CCFF dʉd,C,#99CCFF ɔlɔβ,C,#99CCFF xɔkɪstar,D,#99CCFF ɔlxaʃonak,L,#99CCFF rɔt,C,#99CCFF ɣar,F,#99CCFF surx,B,#99CCFF sabz,G
Y-Safedorak 2,#99CCFF did,C,#99CCFF ɔlɔw,C,#99CCFF xɔkɪstar,D,#99CCFF ɔlxaʃʊnak,L,#99CCFF rɔːt,C,#99CCFF ɣɔr,F,#99CCFF surx,B,#99CCFF sabz,G
Y-Safedorak 3,,,,,,,,,,,,,,,,
