Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
$	NULL	NULL	NULL	8	U+0024		tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich3,tnimich4,tnushor3
^u$	u	Y	Vowel	6	U+005E U+0075 U+0024	"u"	kagazli2,unovmetan3,uurtoqqishloq1,uurtoqqishloq2,uzarmanak3,uzarmanak4
^ʊ$	ʊ	Y	Vowel	11	U+005E U+028A U+0024	"ʊ"	kiorday1,kiorday2,kiorday3,tnimich3,tnimich4,tnushor3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq3,uurtoqqishloq4
^iː$	iː	I	Vowel	5	U+005E U+0069 U+02D0 U+0024	"iː"	ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
^kh̩$	k h̩	K H	Consonant Consonant	4	U+005E U+006B U+0068 U+0329 U+0024	"kh̩"	tkaptarhona5,tnimich3,tnimich4,tnushor1
G	ɣ	G	Consonant	26	U+0047	"naGz,naGz̥,naGəz"	tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnimich1,tnimich2,tnushor1,tnushor2,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,ydugova1
S	ʃ	S	Consonant	29	U+0053	"dZaqSI,dZaxSI,jaxSə"	kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova2,ysafedorak2
U	ʊ	Y	Vowel	8	U+0055	"xUb_0,xUp,xUrSU:"	tnavdi2,tnavdi3,tnimich3,tnimich4,tnushor3,ydugova2,ysafedorak1,ysafedorak2
Z	ʒ	S	Consonant	14	U+005A	"dZaqS1,dZaxS1,dZaxSI"	kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga
a	a	A	Vowel	7852	U+0061	"wʉjlaʃ,xanək,ʤoqidan"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
