Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
b	b	P	Consonant	197	U+0062	"qabɨq,sʲerbar,ʒaŋbɨr"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday3,kitamga,kkhalqabad2,kkhalqabad3,kkkokdarya2,kkkokdarya4,kkshege1,kkshege2,kkshege3,tagalyk,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy2,unovmetan3,usoymahalla1,uurtoqqishloq4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
c	c	C	Consonant	2	U+0063	"baca,ɔca"	tshink2
d	d	T	Consonant	1335	U+0064	"ajlandrʊ,kudak,omadan"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
e	e	E	Vowel	1052	U+0065	"gʲesyː,sʲetɐ,tekkiz̥"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
f	f	B	Consonant	321	U+0066	"iflas,oftob̥,pflamɔq"	karaushan1,karaushan2,kiorday1,kiorday2,kiorday3,kiorday4,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
g	g	K	Consonant	310	U+0067	"buginik,dargirundan,darguʒɔ"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
h	h	H	Consonant	208	U+0068	"bahɐr,mahiː,mahtɔv̥"	tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uurtoqqishloq1,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
i	i	I	Vowel	1936	U+0069	"jiqɨliʃ,kaʃit,kilu"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
j	j	J	Consonant	973	U+006A	"bʉjin,kyjœː,myjyz"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
k	k	K	Consonant	512	U+006B	"fkir,wøtkɨr,ɪskɪ"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
l	l	L	Consonant	1528	U+006C	"ajlaniʃ,bajlaw,sizlar"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
m	m	M	Consonant	1090	U+006D	"bormɔq,kaʃlamɔq,ɛmʧek"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
n	n	N	Consonant	1144	U+006E	"dingɨz̥,gændæ,ilanʧuβan"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
o	o	U	Vowel	270	U+006F	"haβozi,sorʊː,xokistar"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,kiakmuz1,kibarskoon,kikulanak3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,unovmetan3,usoymahalla1,usoymahalla2,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
p	p	P	Consonant	242	U+0070	"anɪpidim,wøtpɪdə,ʃupuʃ"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tkamangaron1,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
q	q	K	Consonant	298	U+0071	"jiqiliʃ,mɔqɔq,ʃʊqa"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnushor1,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak2,ysafedorak3
r	r	R	Consonant	2820	U+0072	"arχan,dargɪrundan,wʉltəru"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
s	s	S	Consonant	836	U+0073	"iskʲelʲeʊ,jiskʲeʊ,ʊslaʊ"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
t	t	T	Consonant	1367	U+0074	"atfarim,qapta,wʉtkɨr"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
u	u	Y	Vowel	1757	U+0075	"putagi,suɣun,ustuxun"	kagazli1,kagazli2,kagazli3,kagazli4,kagazli5,kagazli6,kagazli7,karaushan1,karaushan2,karaushan3,karaushan4,kiakmuz1,kiakmuz2,kiakmuz3,kibarskoon,kikulanak1,kikulanak2,kikulanak3,kikulanak4,kikulanak5,kiorday1,kiorday2,kiorday3,kiorday4,kitamga,kkhalqabad1,kkhalqabad2,kkhalqabad3,kkkokdarya1,kkkokdarya2,kkkokdarya3,kkkokdarya4,kkshege1,kkshege2,kkshege3,kkshege4,tagalyk,tkamangaron1,tkamangaron2,tkamangaron3,tkamangaron4,tkaptarhona1,tkaptarhona2,tkaptarhona3,tkaptarhona4,tkaptarhona5,tnavdi1,tnavdi2,tnavdi3,tnimich1,tnimich2,tnimich3,tnimich4,tnovmetan1,tnovmetan2,tnushor1,tnushor2,tnushor3,trishtan1,trishtan2,trishtan3,tshink1,tshink2,tshink3,turmetan1,turmetan2,turmetan3,turmetan4,tzarmanak1,tzarmanak2,uhitoy1,uhitoy2,uhitoy3,unovmetan3,usoymahalla1,usoymahalla2,usoymahalla3,uurtoqqishloq1,uurtoqqishloq2,uurtoqqishloq3,uurtoqqishloq4,uzarmanak3,uzarmanak4,ydugova1,ydugova2,ysafedorak1,ysafedorak2,ysafedorak3
