ID,Name,Concepticon_ID,Concepticon_Gloss
animal,animal,619,ANIMAL
ashes,ashes,646,ASH
autumn,autumn,1276,AUTUMN
back,back,1291,BACK
bad,bad,1292,BAD
bark,bark,1204,BARK
belly,belly,1251,BELLY
big,big,1202,BIG
bird,bird,937,BIRD
black,black,163,BLACK
blood,blood,946,BLOOD
bone,bone,1394,BONE
breast,breast,1402,BREAST
butterfly,butterfly,1791,BUTTERFLY
child,child,2099,CHILD
cloud,cloud,1489,CLOUD
cold,cold,1287,COLD
correct,correct,1725,CORRECT (RIGHT)
day,day,1225,DAY (NOT NIGHT)
dirty,dirty,1230,DIRTY
dog,dog,2009,DOG
dry,dry,1398,DRY
dull,dull,379,BLUNT
dust,dust,2,DUST
ear,ear,1247,EAR
earth,earth,1228,EARTH (SOIL)
egg,egg,744,EGG
eye,eye,1248,EYE
far,far,1406,FAR
fat,fat,323,FAT (ORGANIC SUBSTANCE)
father,father,1217,FATHER
feather,feather,1201,FEATHER
fire,fire,221,FIRE
fish,fish,227,FISH
five,five,493,FIVE
flower,flower,239,FLOWER
fog,fog,249,FOG
forest,forest,420,FOREST
four,four,1500,FOUR
fruit,fruit,1507,FRUIT
full,full,1429,FULL
good,good,1035,GOOD
grass,grass,606,GRASS
green,green,1425,GREEN
hair,hair,2648,HAIR (HEAD)
hand,hand,1277,HAND
he,he,1211,HE
head,head,1256,HEAD
heart,heart,1223,HEART
heavy,heavy,1210,HEAVY
horn,horn,1393,HORN (ANATOMY)
how,how ?,1239,HOW
husband,husband,1200,HUSBAND
i,I,1209,I
ice,ice,617,ICE
knee,knee,1371,KNEE
lake,lake,624,LAKE
leaf,leaf,628,LEAF
left,left,244,LEFT
leg,leg,1297,LEG
liver,liver,1224,LIVER
long,long,1203,LONG
louse,louse,1392,LOUSE
man,man,1554,MAN
meat,meat,634,MEAT
moon,moon,1313,MOON
mother,mother,1216,MOTHER
mountain,mountain,639,MOUNTAIN
mouth,mouth,674,MOUTH
nail,nail,1896,FINGERNAIL OR TOENAIL
name,name,1405,NAME
narrow,narrow,1267,NARROW
near,near,1942,NEAR
neck,neck,1333,NECK
new,new,1231,NEW
night,night,1233,NIGHT
nose,nose,1221,NOSE
not,not,1240,NOT
old,old,1229,OLD
one,one,1493,ONE
other,other,197,OTHER
person,person,683,PERSON
rain,rain,2108,RAINING OR RAIN
red,red,156,RED
right,right,1019,RIGHT
river,river,666,RIVER
road,road,667,ROAD
root,root,670,ROOT
rope,rope,1218,ROPE
rotten,rotten,1728,ROTTEN
round,round,1395,ROUND
salt,salt,1274,SALT
sand,sand,671,SAND
sea,sea,1474,SEA
seed,seed,714,SEED
sharp,sharp,1396,SHARP
short,short,1645,SHORT
skin,skin,763,SKIN
sky,sky,1732,SKY
small,small,1246,SMALL
smoke,smoke,778,SMOKE (EXHAUST)
smooth,smooth,1234,SMOOTH
snake,snake,730,SNAKE
snow,snow,784,SNOW
star,star,1430,STAR
stick,stick,1295,STICK
stone,stone,857,STONE
straight,straight,1404,STRAIGHT
sun,sun,1343,SUN
tail,tail,1220,TAIL
they,they,817,THEY
thick,thick,1244,THICK
thin,thin,2308,THIN
three,three,492,THREE
tobite,to bite,1403,BITE
toblow,to blow,175,BLOW (OF WIND)
tobreathe,to breathe,1407,BREATHE
toburn,to burn,2102,BURN
tocome,to come,1446,COME
tocut,to cut,1432,CUT
todie,to die,1494,DIE
todig,to dig,1418,DIG
todrink,to drink,1401,DRINK
toeat,to eat,1336,EAT
tofall,to fall,1280,FALL
tofear,to fear,1419,FEAR (BE AFRAID)
tofight,to fight,1423,FIGHT
tofly,to fly,1441,FLY (MOVE THROUGH AIR)
tofreeze,to freeze,1431,FREEZE
togive,to give,1447,GIVE
tohear,to hear,1408,HEAR
tohit,to hit,1433,HIT
tohold,to hold,1448,HOLD
tohunt,to hunt,1435,HUNT
tokill,to kill,1417,KILL
toknow,to know,1410,KNOW (SOMETHING)
tolaugh,to laugh,1355,LAUGH
tolie,to lie,1411,LIE (REST)
tolive,to live,1422,BE ALIVE
toplay,to play,1413,PLAY
topull,to pull,1455,PULL
tosay,to say,1458,SAY
toscratch,to scratch,1436,SCRATCH
tosee,to see,1409,SEE
tosew,to sew,1457,SEW
tosing,to sing,1261,SING
tosit,to sit,1416,SIT
tosleep,to sleep,1585,SLEEP
tosmell,to smell,2124,SMELL
tospit,to spit,1440,SPIT
tosqueeze,to squeeze,1414,SQUEEZE
tostand,to stand,1442,STAND
tosuck,to suck,1421,SUCK
toswim,to swim,1439,SWIM
tothink,to think,2271,THINK
tothrow,to throw,1456,THROW
totie,to tie,1917,TIE
toturn,to turn,1445,TURN (SOMETHING)
towalk,to walk,1443,WALK
towash,to wash,1453,WASH
towipe,to wipe,1454,WIPE
tongue,tongue,1205,TONGUE
tooth,tooth,1380,TOOTH
tree,tree,906,TREE
two,two,1498,TWO
warm,warm,1232,WARM
water,water,948,WATER
we,we,1212,WE
wet,wet,1726,WET
what,what ?,1236,WHAT
when,when ?,1238,WHEN
where,where ?,1237,WHERE
white,white,1335,WHITE
who,who ?,1235,WHO
wide,wide,1243,WIDE
wife,wife,1199,WIFE
wind,wind,960,WIND
wing,wing,1257,WING
woman,woman,962,WOMAN
worm,worm,1219,WORM
year,year,1226,YEAR
yellow,yellow,1424,YELLOW
you,you,1215,THOU
topush,to push,1452,PUSH
