ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Kkhalqabad1-i-1,,Kkhalqabad1,i,mʲen,mʲen,mʲ e n,,Mennecier2016,,,^mʲ e n$,default
Kkhalqabad1-animal-1,,Kkhalqabad1,animal,hajwɒn,hajwɒn,h a j w ɒ n,,Mennecier2016,,,^h a jw ɒ n$,default
Kkhalqabad1-ashes-1,,Kkhalqabad1,ashes,kʉl,kʉl,k ʉ l,,Mennecier2016,,,^k ʉ l$,default
Kkhalqabad1-autumn-1,,Kkhalqabad1,autumn,gʉz̥,gʉz̥,g ʉ z̥,,Mennecier2016,,,^g ʉ z̥$,default
Kkhalqabad1-back-1,,Kkhalqabad1,back,arqa,arqa,a r q a,,Mennecier2016,,,^a r q a$,default
Kkhalqabad1-bad-1,,Kkhalqabad1,bad,ʒaman,ʒaman,ʒ a m a n,,Mennecier2016,,,^ʒ a m a n$,default
Kkhalqabad1-bark-1,,Kkhalqabad1,bark,qaβɨq,qaβɨq,q a β ɨ q,,Mennecier2016,,,^q a β ɨ q$,default
Kkhalqabad1-belly-1,,Kkhalqabad1,belly,qarɨn,qarɨn,q a r ɨ n,,Mennecier2016,,,^q a r ɨ n$,default
Kkhalqabad1-big-1,,Kkhalqabad1,big,ʉlken,ʉlken,ʉ l k e n,,Mennecier2016,,,^ʉ l k e n$,default
Kkhalqabad1-bird-1,,Kkhalqabad1,bird,qʊs,qʊs,q ʊ s,,Mennecier2016,,,^q ʊ s$,default
Kkhalqabad1-black-1,,Kkhalqabad1,black,qara,qara,q a r a,,Mennecier2016,,,^q a r a$,default
Kkhalqabad1-blood-1,,Kkhalqabad1,blood,qan,qan,q a n,,Mennecier2016,,,^q a n$,default
Kkhalqabad1-bone-1,,Kkhalqabad1,bone,sʉjøk,sʉjøk,s ʉ j ø k,,Mennecier2016,,,^s ʉ j ø k$,default
Kkhalqabad1-breast-1,,Kkhalqabad1,breast,kukrøk,kukrøk,k u k r ø k,,Mennecier2016,,,^k u k r ø k$,default
Kkhalqabad1-butterfly-1,,Kkhalqabad1,butterfly,gʊbʲelʲɛk,gʊbʲelʲɛk,g ʊ bʲ e lʲ ɛ k,,Mennecier2016,,,^g ʊ bʲ e lʲ ɛ k$,default
Kkhalqabad1-child-1,,Kkhalqabad1,child,bala,bala,b a l a,,Mennecier2016,,,^b a l a$,default
Kkhalqabad1-cloud-1,,Kkhalqabad1,cloud,bʊlt,bʊlt,b ʊ l t,,Mennecier2016,,,^b ʊ l t$,default
Kkhalqabad1-cold-1,,Kkhalqabad1,cold,sʊːq,sʊːq,s ʊː q,,Mennecier2016,,,^s ʊː q$,default
Kkhalqabad1-correct-1,,Kkhalqabad1,correct,drs,drs,d r s,,Mennecier2016,,,^d rs$,default
Kkhalqabad1-day-1,,Kkhalqabad1,day,kʉn,kʉn,k ʉ n,,Mennecier2016,,,^k ʉ n$,default
Kkhalqabad1-dirty-1,,Kkhalqabad1,dirty,patas,patas,p a t a s,,Mennecier2016,,,^p a t a s$,default
Kkhalqabad1-dog-1,,Kkhalqabad1,dog,it,it,i t,,Mennecier2016,,,^i t$,default
Kkhalqabad1-dry-1,,Kkhalqabad1,dry,qurɣaq,qurɣaq,q u r ɣ a q,,Mennecier2016,,,^q u r ɣ a q$,default
Kkhalqabad1-dull-1,,Kkhalqabad1,dull,wʉtpɪs,wʉtpɪs,w ʉ t p ɪ s,,Mennecier2016,,,^w ʉ t p ɪ s$,default
Kkhalqabad1-dust-1,,Kkhalqabad1,dust,ʃaŋ,ʃaŋ,ʃ a ŋ,,Mennecier2016,,,^ʃ a ŋ$,default
Kkhalqabad1-ear-1,,Kkhalqabad1,ear,qulaq,qulaq,q u l a q,,Mennecier2016,,,^q u l a q$,default
Kkhalqabad1-earth-1,,Kkhalqabad1,earth,ʒʲer,ʒʲer,ʒʲ e r,,Mennecier2016,,,^ʒʲ e r$,default
Kkhalqabad1-egg-1,,Kkhalqabad1,egg,majik,majik,m a j i k,,Mennecier2016,,,^m a j i k$,default
Kkhalqabad1-eye-1,,Kkhalqabad1,eye,kwøz̥,kwøz̥,k w ø z̥,,Mennecier2016,,,^kw ø z̥$,default
Kkhalqabad1-far-1,,Kkhalqabad1,far,ɒlɜs,ɒlɜs,ɒ l ɜ s,,Mennecier2016,,,^ɒ l ɜ s$,default
Kkhalqabad1-fat-1,,Kkhalqabad1,fat,maj,maj,m a j,,Mennecier2016,,,^m a j$,default
Kkhalqabad1-father-1,,Kkhalqabad1,father,akʲe,akʲe,a kʲ e,,Mennecier2016,,,^a kʲ e$,default
Kkhalqabad1-feather-1,,Kkhalqabad1,feather,pær,pær,p æ r,,Mennecier2016,,,^p æ r$,default
Kkhalqabad1-fire-1,,Kkhalqabad1,fire,ʒaːlən,ʒaːlən,ʒ aː l ə n,,Mennecier2016,,,^ʒ aː l ə n$,default
Kkhalqabad1-fish-1,,Kkhalqabad1,fish,balɜq,balɜq,b a l ɜ q,,Mennecier2016,,,^b a l ɜ q$,default
Kkhalqabad1-five-1,,Kkhalqabad1,five,bʲes,bʲes,bʲ e s,,Mennecier2016,,,^bʲ e s$,default
Kkhalqabad1-flower-1,,Kkhalqabad1,flower,gʉl,gʉl,g ʉ l,,Mennecier2016,,,^g ʉ l$,default
Kkhalqabad1-fog-1,,Kkhalqabad1,fog,tuman,tuman,t u m a n,,Mennecier2016,,,^t u m a n$,default
Kkhalqabad1-forest-1,,Kkhalqabad1,forest,tɔɣɔj,tɔɣɔj,t ɔ ɣ ɔ j,,Mennecier2016,,,^t ɔ ɣ ɔ j$,default
Kkhalqabad1-four-1,,Kkhalqabad1,four,tørt,tørt,t ø r t,,Mennecier2016,,,^t ø r t$,default
Kkhalqabad1-fruit-1,,Kkhalqabad1,fruit,miβø,miβø,m i β ø,,Mennecier2016,,,^m i β ø$,default
Kkhalqabad1-full-1,,Kkhalqabad1,full,tɔlɜq,tɔlɜq,t ɔ l ɜ q,,Mennecier2016,,,^t ɔ l ɜ q$,default
Kkhalqabad1-good-1,,Kkhalqabad1,good,Zaxs1,Zaxs1,ʒ a x s ɨ,,Mennecier2016,,,^Z a xs 1$,default
Kkhalqabad1-grass-1,,Kkhalqabad1,grass,ʃøp,ʃøp,ʃ ø p,,Mennecier2016,,,^ʃ ø p$,default
Kkhalqabad1-green-1,,Kkhalqabad1,green,kwøk,kwøk,k w ø k,,Mennecier2016,,,^kw ø k$,default
Kkhalqabad1-hair-1,,Kkhalqabad1,hair,ʃaʃ,ʃaʃ,ʃ a ʃ,,Mennecier2016,,,^ʃ a ʃ$,default
Kkhalqabad1-hand-1,,Kkhalqabad1,hand,qɔl,qɔl,q ɔ l,,Mennecier2016,,,^q ɔ l$,default
Kkhalqabad1-he-1,,Kkhalqabad1,he,wɔl,wɔl,w ɔ l,,Mennecier2016,,,^w ɔ l$,default
Kkhalqabad1-head-1,,Kkhalqabad1,head,bas,bas,b a s,,Mennecier2016,,,^b a s$,default
Kkhalqabad1-heart-1,,Kkhalqabad1,heart,ʒyrøk,ʒyrøk,ʒ y r ø k,,Mennecier2016,,,^ʒ y r ø k$,default
Kkhalqabad1-heavy-1,,Kkhalqabad1,heavy,awər,awər,a w ə r,,Mennecier2016,,,^a w ə r$,default
Kkhalqabad1-horn-1,,Kkhalqabad1,horn,ʃaq,ʃaq,ʃ a q,,Mennecier2016,,,^ʃ a q$,default
Kkhalqabad1-how-1,,Kkhalqabad1,how,qalaj,qalaj,q a l a j,,Mennecier2016,,,^q a l a j$,default
Kkhalqabad1-husband-1,,Kkhalqabad1,husband,jer,jer,j e r,,Mennecier2016,,,^j e r$,default
Kkhalqabad1-ice-1,,Kkhalqabad1,ice,mʊz̥,mʊz̥,m ʊ z̥,,Mennecier2016,,,^m ʊ z̥$,default
Kkhalqabad1-knee-1,,Kkhalqabad1,knee,dzʲe,dzʲe,d zʲ e,,Mennecier2016,,,^d zʲ e$,default
Kkhalqabad1-lake-1,,Kkhalqabad1,lake,kwøl,kwøl,k w ø l,,Mennecier2016,,,^kw ø l$,default
Kkhalqabad1-leaf-1,,Kkhalqabad1,leaf,ʒaprak,ʒaprak,ʒ a p r a k,,Mennecier2016,,,^ʒ a p r a k$,default
Kkhalqabad1-left-1,,Kkhalqabad1,left,ʃɪp,ʃɪp,ʃ ɪ p,,Mennecier2016,,,^ʃ ɪ p$,default
Kkhalqabad1-leg-1,,Kkhalqabad1,leg,ajaq,ajaq,a j a q,,Mennecier2016,,,^a j a q$,default
Kkhalqabad1-liver-1,,Kkhalqabad1,liver,bawʊr,bawʊr,b a w ʊ r,,Mennecier2016,,,^b a w ʊ r$,default
Kkhalqabad1-louse-1,,Kkhalqabad1,louse,bit,bit,b i t,,Mennecier2016,,,^b i t$,default
Kkhalqabad1-man-1,,Kkhalqabad1,man,jer,jer,j e r,,Mennecier2016,,,^j e r$,default
Kkhalqabad1-meat-1,,Kkhalqabad1,meat,gʉʃ,gʉʃ,g ʉ ʃ,,Mennecier2016,,,^g ʉ ʃ$,default
Kkhalqabad1-moon-1,,Kkhalqabad1,moon,aj,aj,a j,,Mennecier2016,,,^a j$,default
Kkhalqabad1-mother-1,,Kkhalqabad1,mother,ana,ana,a n a,,Mennecier2016,,,^a n a$,default
Kkhalqabad1-mountain-1,,Kkhalqabad1,mountain,taʊ,taʊ,t a ʊ,,Mennecier2016,,,^t a ʊ$,default
Kkhalqabad1-mouth-1,,Kkhalqabad1,mouth,awɨz,awɨz,a w ɨ z,,Mennecier2016,,,^a w ɨ z$,default
Kkhalqabad1-nail-1,,Kkhalqabad1,nail,tɨrnɒq,tɨrnɒq,t ɨ r n ɒ q,,Mennecier2016,,,^t ɨ r n ɒ q$,default
Kkhalqabad1-name-1,,Kkhalqabad1,name,at,at,a t,,Mennecier2016,,,^a t$,default
Kkhalqabad1-narrow-1,,Kkhalqabad1,narrow,ʒiŋiʃkʲe,ʒiŋiʃkʲe,ʒ i ŋ i ʃ kʲ e,,Mennecier2016,,,^ʒ i ŋ i ʃ kʲ e$,default
Kkhalqabad1-near-1,,Kkhalqabad1,near,ʒaχən,ʒaχən,ʒ a χ ə n,,Mennecier2016,,,^ʒ a χ ə n$,default
Kkhalqabad1-neck-1,,Kkhalqabad1,neck,mɔjɪn,mɔjɪn,m ɔ j ɪ n,,Mennecier2016,,,^m ɔ j ɪ n$,default
Kkhalqabad1-new-1,,Kkhalqabad1,new,taza,taza,t a z a,,Mennecier2016,,,^t a z a$,default
Kkhalqabad1-night-1,,Kkhalqabad1,night,tʉn,tʉn,t ʉ n,,Mennecier2016,,,^t ʉ n$,default
Kkhalqabad1-nose-1,,Kkhalqabad1,nose,mʊrʊn,mʊrʊn,m ʊ r ʊ n,,Mennecier2016,,,^m ʊ r ʊ n$,default
Kkhalqabad1-not-1,,Kkhalqabad1,not,ʒɔq,ʒɔq,ʒ ɔ q,,Mennecier2016,,,^ʒ ɔ q$,default
Kkhalqabad1-old-1,,Kkhalqabad1,old,gʊnʲe,gʊnʲe,g ʊ nʲ e,,Mennecier2016,,,^g ʊ nʲ e$,default
Kkhalqabad1-one-1,,Kkhalqabad1,one,bər,bər,b ə r,,Mennecier2016,,,^b ə r$,default
Kkhalqabad1-other-1,,Kkhalqabad1,other,basqa,basqa,b a s q a,,Mennecier2016,,,^b a s q a$,default
Kkhalqabad1-person-1,,Kkhalqabad1,person,adam,adam,a d a m,,Mennecier2016,,,^a d a m$,default
Kkhalqabad1-rain-1,,Kkhalqabad1,rain,ʒamɣɨr,ʒamɣɨr,ʒ a m ɣ ɨ r,,Mennecier2016,,,^ʒ a m ɣ ɨ r$,default
